Метод,Что делает
dict.clear(),Очищает словарь
dict.copy(),Возвращает копию словаря
"dict.get(key[, deafult])","Возвращает значение по ключу, если его нет, то default (по умолчанию None)"
dict.items(),"Возвращает пары (ключ, значение)"
dict.keys0,Возвращает ключи
"dict.pop(key[, deafult])","Удаляет ключ и возвращает значение. Если ключа нет, то default (по умолчанию KeyError)"
dict.popitem(),"Удаляет и возвращает пару (ключ, значение). Если словарь пуст, то KeyError. Словари неупорядочены = удаление рандомное"
"dict.setdefault(key[, deafult])","Возвращает значение по ключу, но если его нет создает ключ со значением default/None"
dict.update([other]),"Обновляет словарь, добавляя пары из other. Существующие ключи перезаписываются. Возвращает None, не новый словарь"
dict.values(),Возвращает значения в словаре